user_nickname,last_celeb_chat_date,first_celeb_chat_date,celeb_chat_period,celeb_chat_week,celeb_chat_count,avg_celeb_chat,last_week_celeb_chat_count,celeb_chat_length,celeb_chat_avg_len,churn,celeb_joinus_date,celeb_type,last_fan_chat_date,first_fan_chat_date,fan_chat_period,fan_chat_week,fan_chat_count,avg_fan_chat,last_week_fan_chat_count,sticker_count,Total_sticker_sales,avg_sticker_price,churn_proba
고운별,2022-12-02,2022-11-29,4,1,27,27.0,27,371.0,13.74074074074074,1,2022-11-27,churn_customer,2022-12-01,2022-11-29,3.0,1.0,28.0,28.0,28.0,0.0,0.0,0.0,0.9427743294959461
고유사,2023-01-18,2022-09-29,112,16,920,57.5,47,20138.0,21.889130434782608,0,2022-09-28,long_term,2023-01-18,2022-09-28,113.0,17.0,1877.0,110.41,66.0,1.0,50.0,50.0,0.05528553114971094
골무777,2022-11-24,2022-09-11,75,11,35,3.18,5,962.0,27.485714285714284,1,before 2022-09-04,churn_customer,2022-12-28,2022-09-05,115.0,17.0,22.0,1.29,2.0,0.0,0.0,0.0,0.9871438462370549
곰아린,2022-10-30,2022-10-02,29,5,49,9.8,8,787.0,16.06122448979592,1,2022-10-02,churn_customer,2022-10-31,2022-10-02,30.0,5.0,175.0,35.0,28.0,0.0,0.0,0.0,0.7770284783800285
공부하는 백설기,2022-09-24,2022-09-22,3,1,16,16.0,16,158.0,9.875,1,before 2022-09-04,churn_customer,2022-12-18,2022-09-23,87.0,13.0,17.0,1.31,2.0,0.0,0.0,0.0,0.9931859010687905
공부하는쭈,2022-11-29,2022-11-29,1,1,2,2.0,2,10.0,5.0,1,before 2022-09-04,churn_customer,2022-12-01,2022-11-21,11.0,2.0,8.0,4.0,7.0,0.0,0.0,0.0,0.7472984141741502
공아현,2023-01-03,2022-09-12,114,17,187,11.0,1,2398.0,12.823529411764708,1,before 2022-09-04,churn_customer,2022-12-27,2022-09-12,107.0,16.0,273.0,17.06,22.0,0.0,0.0,0.0,0.6292911417003634
공이,2023-01-02,2022-12-02,32,5,59,11.8,12,157.0,2.6610169491525424,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805482394817536
굥아님,2022-12-25,2022-10-25,62,9,267,29.67,2,5015.0,18.78277153558053,1,2022-10-25,churn_customer,2023-01-13,2022-10-25,81.0,12.0,1054.0,87.83,4.0,0.0,0.0,0.0,0.7735476186434121
굥이,2023-01-14,2022-09-04,133,19,55,2.89,13,734.0,13.345454545454546,0,before 2022-09-04,long_term,2023-01-17,2022-09-04,136.0,20.0,69.0,3.45,11.0,1.0,50.0,50.0,0.1880905601163482
구독,2023-01-13,2023-01-13,1,1,1,1.0,1,2.0,2.0,0,2023-01-13,new_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9380282448234917
귀욤효닝뀨,2022-09-21,2022-09-18,4,1,15,15.0,15,184.0,12.266666666666667,1,before 2022-09-04,churn_customer,2022-09-19,2022-09-18,2.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.9417341144277285
규연,2022-09-14,2022-09-11,4,1,24,24.0,24,324.0,13.5,1,before 2022-09-04,churn_customer,2022-10-25,2022-09-11,45.0,7.0,40.0,5.71,1.0,0.0,0.0,0.0,0.9881874244174029
귤달아,2023-01-20,2022-10-01,112,16,518,32.38,2,7118.0,13.741312741312742,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,1685.0,84.25,5.0,0.0,0.0,0.0,0.4383820204867438
글라세,2023-01-20,2022-09-16,127,19,5310,279.47,247,106297.0,20.01826741996233,0,before 2022-09-04,long_term,2023-01-20,2022-09-16,127.0,19.0,7029.0,369.95,290.0,700.0,9191.0,13.1,0.035940017932478155
금솔,2023-01-20,2022-09-04,139,20,1364,68.2,4,16395.0,12.019794721407624,0,before 2022-09-04,long_term,2023-01-19,2022-09-04,138.0,20.0,1964.0,98.2,52.0,2.0,130.0,65.0,0.007614269310210011
기래민,2022-11-27,2022-09-04,85,13,2497,192.08,184,36415.0,14.58350020024029,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4947533360292717
